!CSV A.01.01
!Agilent Technologies,N5225A,MY51451353,A.10.00.00
!Agilent N5225A: A.10.00.00
!Date: Sunday, September 20, 2020 15:45:05
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
500000000,-20.034576,-173.19939
532500000,-16.224045,167.33929
565000000,-15.035541,-107.8674
597500000,-7.9141297,-10.314486
630000000,0.48623168,13.200941
662500000,2.0069501,82.889969
695000000,14.294848,125.27502
727500000,17.515606,51.825909
760000000,17.660357,-5.7833729
792500000,17.846958,-75.75338
825000000,17.337027,-173.50203
857500000,16.690807,133.2054
890000000,17.05051,106.91409
922500000,16.306297,57.491081
955000000,16.329885,28.843176
987500000,15.082574,0.90640622
1020000000,16.909475,-14.580812
1052500000,13.225604,-53.092159
1085000000,16.341196,-40.581764
1117500000,13.655549,-29.676743
1150000000,15.549152,-31.363443
1182500000,12.89607,-39.552132
1215000000,15.44165,3.4374681
1247500000,13.824238,14.476258
1280000000,15.248852,50.998928
1312500000,11.858747,72.307976
1345000000,12.476127,147.2283
1377500000,13.385002,170.15053
1410000000,12.365541,-145.07736
1442500000,13.026217,-101.92522
1475000000,13.685678,-57.158207
1507500000,12.6145,1.7838157
1540000000,12.864639,51.017918
1572500000,12.715204,99.234604
1605000000,11.788046,155.62874
1637500000,11.521203,-139.12349
1670000000,7.3746476,-66.013016
1702500000,10.18983,8.715847
1735000000,11.212502,81.050674
1767500000,10.561117,144.84702
1800000000,11.32201,-135.67754
1832500000,11.013114,-66.028816
1865000000,9.3681889,5.5200853
1897500000,9.5486355,104.83443
1930000000,9.1466904,-175.90398
1962500000,9.1521778,-92.754356
1995000000,8.666935,-10.114608
2027500000,6.6888099,69.332977
2060000000,4.5936394,159.82986
2092500000,0.9536953,-106.47168
2125000000,1.233546,30.373043
2157500000,4.2833033,130.27548
2190000000,5.5028138,-149.32727
2222500000,3.9641292,-61.366272
2255000000,1.547138,43.239407
2287500000,1.940794,148.81274
2320000000,-0.019123849,-123.43271
2352500000,-5.3912659,-1.7828735
2385000000,-6.3368554,85.136284
2417500000,-8.7725487,-155.65675
2450000000,-11.00783,-112.71358
2482500000,-7.7652454,-94.749016
2515000000,-3.4436622,-0.3473435
2547500000,1.4594971,98.919838
2580000000,4.5344906,-168.19521
2612500000,5.756022,-72.656021
2645000000,5.0950689,36.437363
2677500000,8.0253611,151.80432
2710000000,9.5579081,-106.15464
2742500000,10.407372,-0.62183726
2775000000,10.530158,102.79367
2807500000,9.6328106,-146.1019
2840000000,9.0185862,-28.732687
2872500000,8.3992748,89.803284
2905000000,7.7212729,-151.44476
2937500000,6.5176291,-26.471039
2970000000,6.6641688,106.53474
3002500000,7.1818957,-127.73486
3035000000,7.9801612,-3.9468799
3067500000,7.9299898,120.60857
3100000000,8.0947657,-112.65926
3132500000,9.0396357,15.315359
3165000000,9.3402405,137.03601
3197500000,9.3820267,-95.847946
3230000000,9.6168566,28.333918
3262500000,9.3194551,152.07138
3295000000,7.985342,-81.146515
3327500000,7.1871104,54.054893
3360000000,6.9796901,-169.13074
3392500000,7.3269477,-37.496136
3425000000,7.8971262,93.862823
3457500000,7.3657484,-135.42773
3490000000,7.9350514,-3.7765059
3522500000,7.3016758,125.67253
3555000000,6.8428741,-97.735916
3587500000,7.0059457,38.562325
3620000000,7.3845406,172.47029
3652500000,7.641654,-57.752754
3685000000,6.773057,73.410187
3717500000,6.0939679,-151.72798
3750000000,5.1036119,-12.450973
3782500000,4.7395239,128.88522
3815000000,4.9511504,-89.900238
3847500000,5.0430951,46.860302
3880000000,5.0188808,-179.38045
3912500000,3.6233337,-43.100895
3945000000,2.1533084,103.40927
3977500000,2.5075486,-105.9954
4010000000,3.5018749,33.58934
4042500000,3.5752802,169.4621
4075000000,3.3290925,-55.131573
4107500000,2.2280226,79.985077
4140000000,0.75203216,-142.78181
4172500000,-1.1321498,2.0556343
4205000000,-2.0191181,148.3833
4237500000,-2.8409462,-68.835983
4270000000,-4.4836597,75.774055
4302500000,-6.1201892,-139.17035
4335000000,-8.1550198,10.622454
4367500000,-10.579106,162.3894
4400000000,-12.191988,-24.733509
