!CSV A.01.01
!Agilent Technologies,N5225A,MY51451353,A.10.00.00
!Agilent N5225A: A.10.00.00
!Date: Thursday, August 20, 2020 15:30:06
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
500000000,-3.8490326,-108.25331
532500000,-15.628222,-43.024273
565000000,-14.533713,99.049171
597500000,-3.5633411,168.19623
630000000,1.8149549,-103.56313
662500000,5.5526056,-56.347107
695000000,11.885733,-20.042669
727500000,15.413848,-66.546593
760000000,16.318068,-76.150398
792500000,17.01556,-142.89644
825000000,17.272686,129.13338
857500000,17.898777,81.474098
890000000,17.467344,56.409481
922500000,17.786978,-5.48839
955000000,17.805859,-22.56949
987500000,17.599874,-61.056175
1020000000,17.859684,-75.124741
1052500000,16.199522,-54.641945
1085000000,17.701202,-88.178238
1117500000,16.1024,-61.378212
1150000000,17.65332,-68.673233
1182500000,16.379551,-46.028938
1215000000,17.591774,-36.044491
1247500000,17.276749,-11.818158
1280000000,17.221752,34.669411
1312500000,16.403057,71.065361
1345000000,16.908991,122.35786
1377500000,16.27631,163.82291
1410000000,13.348554,-156.8132
1442500000,16.214619,-90.673546
1475000000,16.637688,-34.315094
1507500000,16.893599,8.4791298
1540000000,16.66873,67.375336
1572500000,16.383644,108.33792
1605000000,15.712701,-164.04318
1637500000,15.587842,-97.428169
1670000000,14.992601,-32.030708
1702500000,15.162736,45.066639
1735000000,15.18388,123.50987
1767500000,14.964763,-164.26593
1800000000,14.794932,-87.683395
1832500000,15.130639,-2.7537191
1865000000,15.073851,65.33358
1897500000,12.976507,160.43019
1930000000,13.371675,-113.53516
1962500000,12.656209,-32.438629
1995000000,11.427421,67.379478
2027500000,10.787369,155.87265
2060000000,9.888484,-111.911
2092500000,9.4023552,-26.356619
2125000000,3.6023049,63.033318
2157500000,0.84693217,174.42819
2190000000,-2.0217054,-95.523727
2222500000,-11.454948,-1.9090695
2255000000,-16.256489,25.545534
2287500000,-11.873225,13.455883
2320000000,-5.6039085,158.65433
2352500000,-5.4903994,-107.13359
2385000000,1.0125191,10.681596
2417500000,2.0599344,105.64744
2450000000,0.096021019,-134.51778
2482500000,3.2396474,-9.444169
2515000000,3.5961804,107.36993
2547500000,4.9970236,-128.68558
2580000000,7.4655752,-7.1261744
2612500000,9.0566664,101.86082
2645000000,9.2809429,-139.46497
2677500000,11.229073,-21.721939
