!CSV A.01.01
!Agilent Technologies,N5225A,MY51451353,A.10.00.00
!Agilent N5225A: A.10.00.00
!Date: Thursday, August 20, 2020 15:29:59
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
500000000,-3.835691,-108.80107
532500000,-15.802981,-40.561459
565000000,-13.933124,102.27144
597500000,-3.0396481,169.36652
630000000,1.9827759,-102.65408
662500000,6.4052658,-55.240269
695000000,12.213257,-18.79071
727500000,15.824883,-65.177681
760000000,16.823994,-82.628006
792500000,17.101761,-148.13518
825000000,17.286039,127.48707
857500000,17.940237,81.343353
890000000,17.564642,55.197678
922500000,17.797806,-6.3023
955000000,17.845303,-24.369507
987500000,17.713707,-60.988079
1020000000,17.879391,-77.182686
1052500000,16.429148,-55.16338
1085000000,17.707506,-90.271973
1117500000,16.288479,-64.377747
1150000000,17.695593,-70.495461
1182500000,16.509521,-48.525665
1215000000,17.585049,-37.057354
1247500000,17.363405,-16.127085
1280000000,17.226187,32.749146
1312500000,16.409054,68.955399
1345000000,16.885485,122.08422
1377500000,16.332626,162.96602
1410000000,13.05997,-157.14278
1442500000,16.268764,-89.887756
1475000000,16.661835,-35.569214
1507500000,16.84823,9.8012905
1540000000,16.721325,67.448387
1572500000,16.278158,108.41077
1605000000,15.77036,-162.18207
1637500000,15.657009,-95.885201
1670000000,15.20574,-25.681505
1702500000,16.108971,40.755512
1735000000,15.592168,114.90166
1767500000,14.727942,-169.16083
1800000000,14.804621,-91.560493
1832500000,14.808239,-6.6286497
1865000000,14.614264,65.495827
1897500000,12.923108,159.50952
1930000000,12.67582,-116.15003
1962500000,11.75237,-28.513666
1995000000,11.662831,71.214043
2027500000,10.587765,156.49937
2060000000,9.5209618,-109.74448
2092500000,9.0143337,-21.083189
2125000000,4.1542749,70.46904
2157500000,0.93446857,175.0239
2190000000,-3.0960426,-84.676918
2222500000,-10.568814,21.987339
2255000000,-19.103025,20.097248
2287500000,-9.2812967,18.680023
2320000000,-3.9113729,147.91806
2352500000,-2.9072349,-122.83802
2385000000,0.94364786,0.056374241
2417500000,2.1616571,102.80148
2450000000,0.81754535,-136.13283
2482500000,3.9804204,-12.021389
2515000000,4.5341816,101.08434
2547500000,5.4644527,-134.60809
2580000000,8.0634794,-10.937716
2612500000,9.9220905,93.772728
2645000000,9.1517525,-149.86133
2677500000,10.845801,-25.017267
2710000000,12.897397,87.914047
2742500000,13.681263,-164.79498
2775000000,13.757751,-55.521698
2807500000,13.661448,67.085548
2840000000,13.880394,179.02066
2872500000,13.678376,-61.338417
2905000000,13.23444,56.40744
2937500000,11.89412,176.99661
2970000000,9.4123211,-45.700348
3002500000,9.6084833,91.077644
3035000000,9.7592459,-139.56674
3067500000,8.7554064,-9.1527166
3100000000,7.6069922,130.29935
3132500000,8.2622881,-80.691071
3165000000,9.834301,54.731609
3197500000,11.193834,-174.14212
3230000000,12.172885,-49.85725
3262500000,12.249718,76.053177
3295000000,11.473882,-157.14378
3327500000,10.550015,-17.852707
3360000000,10.336391,122.58533
3392500000,10.659155,-102.93417
3425000000,10.972383,30.596766
3457500000,10.372728,165.41418
3490000000,10.594522,-56.967632
3522500000,9.7583628,79.26297
3555000000,9.6825113,-138.63989
3587500000,9.6388426,0.9735378
3620000000,9.692667,138.00787
3652500000,9.0576277,-84.019478
3685000000,8.1243382,59.972355
3717500000,8.0105247,-154.21442
3750000000,7.8962288,-9.2276716
3782500000,8.2770653,134.39948
3815000000,8.8271255,-84.187431
3847500000,8.9604559,51.168125
3880000000,8.2621765,-171.7668
3912500000,6.523479,-26.447077
3945000000,6.2565784,128.1768
3977500000,7.1277227,-90.143089
4010000000,6.7061281,48.834106
4042500000,5.2777719,-169.9055
4075000000,3.7138083,-19.576176
4107500000,2.8656406,131.85165
4140000000,2.0468369,-74.662933
4172500000,2.3361518,80.4021
4205000000,3.1786797,-131.90666
4237500000,3.0312414,7.4865379
4270000000,1.4446313,153.2468
4302500000,-0.25132012,-53.774765
4335000000,-0.74037313,106.67803
4367500000,-0.18078773,-99.267403
4400000000,-0.014790781,50.66436
4432500000,0.0033235594,-161.74051
4465000000,-0.69962388,-13.556972
4497500000,-1.5890822,137.21776
4530000000,-2.4555469,-72.680389
4562500000,-4.0323071,80.555107
4595000000,-5.7335348,-122.34568
4627500000,-6.4135094,37.770931
4660000000,-6.508698,-164.40988
4692500000,-7.1078115,-16.782597
4725000000,-9.6413202,132.23987
4757500000,-13.240559,-66.431847
4790000000,-15.661032,106.95232
4822500000,-16.103704,-75.192116
4855000000,-14.640726,94.060257
4887500000,-14.45873,-109.62934
4920000000,-13.966886,41.717964
4952500000,-17.708824,-173.41321
4985000000,-21.595764,-11.666744
5017500000,-27.76326,-179.57875
5050000000,-28.122139,27.226868
5082500000,-26.05969,-120.75532
5115000000,-19.953594,48.952499
5147500000,-18.040293,-143.97417
5180000000,-13.524197,19.085075
5212500000,-11.342186,165.72365
5245000000,-11.283851,-36.81802
5277500000,-10.012506,122.95683
5310000000,-9.4658356,-81.942032
5342500000,-10.008657,78.581657
5375000000,-9.4090004,-119.8563
5407500000,-9.1923409,43.913136
5440000000,-9.5124912,-156.86598
5472500000,-10.720621,4.56464
5505000000,-12.479233,-173.70694
5537500000,-10.606251,7.9355984
5570000000,-8.1297503,-179.51279
5602500000,-5.5157018,-11.924716
5635000000,-2.8920677,143.76163
5667500000,-1.9680156,-61.521427
5700000000,-1.2461816,96.858261
5732500000,-0.92086273,-107.09644
5765000000,-0.83961082,52.80928
5797500000,-0.89553636,-148.47844
5830000000,-1.9663532,11.605964
5862500000,-2.4091253,-179.35281
5895000000,-2.8253846,-10.200342
5927500000,-1.9838505,157.94884
5960000000,-1.4770637,-35.535908
5992500000,-0.89172989,125.35593
6025000000,-0.840716,-70.787048
6057500000,-0.68648744,94.460716
6090000000,-0.22554989,-102.68339
6122500000,0.34760863,60.635525
6155000000,0.32955605,-140.5367
6187500000,-0.44656807,22.990959
6220000000,-0.75537759,-172.35567
6252500000,-1.4714025,-3.1493738
6285000000,-1.5568748,164.67824
6317500000,-1.6405216,-28.146717
6350000000,-2.3785582,142.71596
6382500000,-2.0324578,-46.572815
6415000000,-1.9464167,122.93665
6447500000,-2.0238149,-67.803528
6480000000,-1.9134314,100.78361
6512500000,-1.9521675,-89.756058
6545000000,-2.282033,81.915039
6577500000,-2.3072972,-106.84629
6610000000,-2.1120026,66.945076
