!CSV A.01.01
!Agilent Technologies,N5225A,MY51451353,A.10.00.00
!Agilent N5225A: A.10.00.00
!Date: Sunday, September 20, 2020 15:43:20
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
500000000,-10.317072,-143.21632
532500000,-17.380535,-146.05371
565000000,-19.967604,-79.494804
597500000,-9.6889896,46.537899
630000000,-2.7736328,48.705647
662500000,2.0527115,88.500969
695000000,10.933327,128.6707
727500000,14.097967,64.584053
760000000,14.265302,31.339661
792500000,16.672817,-32.302975
825000000,17.104944,-134.84938
857500000,16.890198,171.92273
890000000,17.034874,131.62099
922500000,15.948386,92.560051
955000000,17.39295,50.098175
987500000,16.094591,6.3603034
1020000000,16.799271,-11.65382
1052500000,12.687345,-42.616028
1085000000,14.559232,-27.909185
1117500000,11.745623,-2.1596143
1150000000,15.487115,-13.703057
1182500000,10.978093,-16.663517
1215000000,15.181606,27.491751
1247500000,14.384167,36.06974
1280000000,15.345016,69.615715
1312500000,12.314992,86.961311
1345000000,13.299775,166.04111
1377500000,13.502171,179.69833
1410000000,11.829019,-134.86478
1442500000,13.560902,-92.421051
1475000000,12.467785,-47.826149
1507500000,13.524989,21.187771
1540000000,13.402692,59.186062
1572500000,12.937087,110.33442
1605000000,13.637615,170.0441
1637500000,11.874728,-136.87743
1670000000,8.7607222,-77.778442
1702500000,8.7805185,0.014194961
1735000000,7.9280386,85.670715
1767500000,8.7267303,148.70464
1800000000,7.1831899,-124.13251
1832500000,8.2235165,-28.465092
1865000000,10.148054,36.384182
1897500000,8.908534,120.56309
1930000000,8.7710476,-153.20064
1962500000,10.044852,-65.607391
1995000000,9.7857637,14.478473
2027500000,8.2348299,96.147972
2060000000,7.9225292,-170.30794
2092500000,7.4028392,-86.591522
2125000000,5.9164982,6.7981434
2157500000,4.5416522,104.73687
2190000000,4.1759233,-165.42081
2222500000,0.98811018,-75.664742
2255000000,-0.32932481,48.445702
2287500000,-0.64545888,154.14716
2320000000,-0.62964362,-118.24801
2352500000,-4.9573507,-16.314301
2385000000,-8.8894043,93.435188
2417500000,-18.369373,-165.8517
2450000000,-14.262762,137.45956
2482500000,-3.8169706,-134.65492
2515000000,-0.3584877,-46.500648
2547500000,1.0724288,59.298527
2580000000,4.0491099,168.19382
2612500000,5.6505246,-99.179466
2645000000,3.7180448,1.2473342
2677500000,4.1240139,124.46037
2710000000,5.8527708,-119.28893
2742500000,7.0902004,-17.685059
2775000000,5.9400468,82.127258
2807500000,2.4647622,-154.54974
2840000000,2.0878403,-20.218588
2872500000,4.5231934,109.40775
2905000000,4.9411755,-137.98653
2937500000,3.8961453,-20.166645
2970000000,2.8685045,114.80782
3002500000,4.0954304,-121.18806
3035000000,4.8040104,1.5890868
3067500000,4.3614073,125.35366
3100000000,3.9928916,-107.33263
3132500000,4.0842271,25.778212
3165000000,4.9382477,154.04762
3197500000,5.3705626,-82.009819
3230000000,5.1478872,45.101364
3262500000,5.0679212,176.7691
3295000000,4.9353905,-54.731457
3327500000,4.9413843,76.919983
3360000000,5.1548424,-152.44626
3392500000,5.1165476,-22.634974
3425000000,5.5811629,110.01196
3457500000,5.7060313,-122.69596
3490000000,5.173986,4.6376991
3522500000,4.036387,137.1619
3555000000,3.7295518,-87.167252
3587500000,3.1196611,49.275501
3620000000,3.4440179,-172.7664
3652500000,3.6471758,-42.746685
3685000000,2.5547674,88.698921
3717500000,1.8687261,-131.61322
3750000000,1.648981,10.563745
3782500000,2.0618994,146.80324
3815000000,2.1271551,-77.605194
3847500000,1.5218391,55.911831
3880000000,1.0276091,-170.26563
3912500000,-1.2181159,-32.049507
3945000000,-2.8557844,113.79282
3977500000,-4.2399116,-96.405891
4010000000,-3.4046714,61.144245
4042500000,-2.394851,-162.1487
4075000000,-2.8010035,-24.90288
4107500000,-3.6128709,113.07554
4140000000,-4.9773169,-108.7847
4172500000,-6.4955635,38.758274
4205000000,-6.8975224,-176.73773
4237500000,-7.6946273,-37.936924
4270000000,-9.4725599,99.972923
4302500000,-13.195816,-125.24007
4335000000,-20.719189,20.564323
4367500000,-30.036795,-98.548973
4400000000,-18.617935,89.204124
4432500000,-14.721505,-110.83145
4465000000,-11.22014,34.966614
4497500000,-9.4746466,173.79077
4530000000,-9.0680389,-44.649929
4562500000,-9.1930485,104.03506
4595000000,-9.88375,-107.09417
4627500000,-9.9263573,48.441944
4660000000,-9.5952396,-154.74387
4692500000,-8.6354055,-1.5569413
4725000000,-8.5742569,149.27165
4757500000,-8.1726789,-52.837742
4790000000,-6.9820623,99.860123
4822500000,-6.289217,-108.63186
4855000000,-5.7974458,41.139309
4887500000,-5.7683296,-168.24973
4920000000,-5.6988535,-16.344604
4952500000,-6.0997548,139.46509
4985000000,-5.6383586,-65.656914
5017500000,-5.9018588,87.924736
5050000000,-6.1752005,-113.61859
