!CSV A.01.01
!Agilent Technologies,N5225A,MY51451353,A.10.00.00
!Agilent N5225A: A.10.00.00
!Date: Thursday, August 20, 2020 15:37:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
500000000,-8.8823118,-87.178482
532500000,-18.351387,-88.1427
565000000,-36.494476,133.86949
597500000,-9.2558937,142.06329
630000000,-5.0137687,-120.29003
662500000,-0.73185897,-81.18766
695000000,5.4500446,-40.070389
727500000,10.266612,-84.988792
760000000,12.150416,-153.3304
792500000,11.550775,178.33466
825000000,10.788024,87.70948
857500000,11.372989,35.685524
890000000,12.473515,-3.2918506
922500000,8.1708765,-6.9360013
955000000,13.036417,-43.046291
987500000,13.742664,-71.734673
1020000000,16.565807,-83.422638
1052500000,13.817666,-102.30567
1085000000,16.564547,-128.30141
1117500000,10.564282,-115.09676
1150000000,15.776987,-111.48115
1182500000,13.412609,-124.40277
1215000000,14.888233,-69.462723
1247500000,15.717941,-58.408909
1280000000,15.81873,-14.138942
1312500000,15.846987,7.1046901
1345000000,15.850961,61.687313
1377500000,15.814924,92.405098
1410000000,11.772091,127.46846
1442500000,14.798567,-162.40793
1475000000,15.981425,-126.03176
1507500000,16.850809,-65.660202
1540000000,17.155342,-32.889927
1572500000,16.814627,5.9393902
1605000000,16.632349,75.193939
1637500000,16.481266,125.28082
1670000000,14.069745,-170.4852
1702500000,14.830462,-94.218117
1735000000,14.726302,-26.142954
1767500000,13.321986,41.009014
1800000000,13.635128,125.31724
1832500000,13.623599,-163.16966
1865000000,12.072897,-92.718414
1897500000,11.399974,-5.4966602
1930000000,10.913086,76.848938
1962500000,10.196911,158.39005
1995000000,7.1991448,-113.11108
2027500000,6.1194906,-21.484377
2060000000,4.0190616,63.872665
2092500000,1.642066,168.25558
2125000000,2.3270228,-97.491989
2157500000,0.72290641,-26.852062
2190000000,-3.1922843,68.657387
2222500000,-3.9333045,148.92711
2255000000,-4.5714459,-160.13354
2287500000,-10.764541,-118.95007
2320000000,-12.257299,-13.143799
2352500000,-20.539068,63.498692
2385000000,-7.6108551,-84.67675
2417500000,-2.7376583,-10.442751
2450000000,0.023973728,87.226669
2482500000,1.6476549,179.71442
2515000000,2.0631375,-71.656342
2547500000,2.868964,30.299738
2580000000,2.1599028,140.81863
2612500000,1.9926184,-101.43788
2645000000,2.1428812,18.50169
2677500000,4.9753504,139.5728
