!CSV A.01.01
!Agilent Technologies,N5225A,MY51451353,A.10.00.00
!Agilent N5225A: A.10.00.00
!Date: Thursday, August 20, 2020 15:38:19
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
500000000,-11.521157,-103.8999
532500000,-18.908308,-101.39636
565000000,-31.886955,147.05356
597500000,-8.9450655,161.01004
630000000,-4.0070505,-116.97307
662500000,-0.018535789,-89.008743
695000000,4.8416772,-49.220673
727500000,10.078382,-86.941559
760000000,12.469192,-151.72334
792500000,11.830388,167.59303
825000000,10.740128,79.10424
857500000,12.446235,29.044407
890000000,11.22196,-7.8733015
922500000,9.2048702,-16.400162
955000000,13.35161,-48.246235
987500000,14.768983,-76.390633
1020000000,16.838589,-98.0037
1052500000,12.986699,-109.42083
1085000000,16.106129,-124.09365
1117500000,11.593544,-113.7366
1150000000,16.562645,-116.91516
1182500000,12.635854,-136.82654
1215000000,15.611084,-76.935173
1247500000,16.2052,-75.540314
1280000000,15.111707,-27.254026
1312500000,15.272822,-2.2577589
1345000000,14.797583,55.496635
1377500000,15.216143,89.812363
1410000000,10.747829,132.73769
1442500000,14.556253,-162.89168
1475000000,15.681684,-122.58343
1507500000,16.681686,-70.284958
1540000000,16.735704,-28.16773
1572500000,16.513359,12.114012
1605000000,16.063643,85.089516
1637500000,16.166483,141.51328
1670000000,14.546494,-156.51425
1702500000,15.603831,-81.457245
1735000000,15.83364,-23.483074
1767500000,13.155383,43.222031
1800000000,14.500624,127.78179
1832500000,13.493994,-164.65565
1865000000,11.206145,-79.549011
1897500000,11.742708,4.533958
1930000000,11.500355,82.467308
1962500000,10.010884,160.51414
1995000000,7.9964318,-92.62188
2027500000,7.1632099,-8.6287117
2060000000,4.1625452,88.550827
2092500000,5.4321418,-160.71936
2125000000,3.566411,-66.908859
2157500000,2.6293077,25.744059
2190000000,0.32640371,123.94057
2222500000,-0.30392,-120.68005
2255000000,1.3001361,-42.501869
2287500000,-0.58996165,36.065174
2320000000,-5.4932871,133.07936
2352500000,-7.0618029,-132.72487
2385000000,-14.257851,1.5109116
2417500000,-14.107627,64.665955
2450000000,-12.800572,82.59124
2482500000,-11.384782,156.50105
2515000000,-12.670326,-64.628067
2547500000,-6.6766758,55.886627
2580000000,-4.4842567,172.49409
2612500000,-1.740428,-73.871307
2645000000,-0.7137506,31.66556
2677500000,1.042106,153.85478
2710000000,1.9383093,-89.244896
2742500000,4.2171206,28.922253
2775000000,5.8262482,140.90599
2807500000,6.5347319,-103.07452
2840000000,7.7854657,14.326923
2872500000,8.5620775,128.89943
2905000000,8.666872,-114.41508
2937500000,8.423007,1.9382175
2970000000,7.7614589,129.01619
3002500000,7.3694949,-105.17146
3035000000,8.0162754,25.784254
3067500000,8.7926798,151.06313
3100000000,9.3021517,-86.300285
3132500000,9.2529001,41.949554
3165000000,9.6794977,171.65367
3197500000,10.541301,-62.617352
3230000000,10.577303,60.502888
3262500000,10.352367,-170.80879
3295000000,9.8408756,-42.466732
3327500000,9.5304728,92.81916
3360000000,10.145209,-135.81313
3392500000,10.03012,-8.2637501
3425000000,10.266823,122.87957
3457500000,9.7747297,-108.71828
3490000000,9.5413008,22.304508
3522500000,8.7956629,154.7888
3555000000,8.2127972,-70.044556
3587500000,8.007205,65.313263
3620000000,7.8246379,-160.41492
3652500000,7.3585129,-26.515245
3685000000,6.5128255,108.46579
3717500000,5.6945515,-112.506
3750000000,5.3511782,28.323162
3782500000,5.2127867,167.03474
3815000000,5.2060328,-53.676956
3847500000,4.7122478,80.61927
3880000000,3.9296901,-141.86348
3912500000,2.7716577,-5.0429749
3945000000,0.61691648,139.69101
3977500000,-0.14559801,-71.000679
4010000000,-0.61016512,75.139275
4042500000,-1.1208198,-142.25426
4075000000,-2.0817406,3.2478132
4107500000,-2.7760746,145.36143
4140000000,-4.880909,-73.013565
4172500000,-7.6730728,84.449875
4205000000,-6.9018669,-107.32918
4237500000,-5.1126399,42.023777
4270000000,-4.0540543,-175.57314
4302500000,-3.9068456,-36.990627
4335000000,-4.2953978,103.60777
4367500000,-5.2833652,-113.89186
4400000000,-6.6233292,30.433622
4432500000,-7.4291024,-179.34999
4465000000,-7.6828938,-35.807995
4497500000,-9.0914164,106.44074
4530000000,-10.954409,-112.75864
4562500000,-13.697449,33.834232
4595000000,-17.336021,177.97804
4627500000,-22.170839,-21.395134
4660000000,-21.660078,150.38698
4692500000,-21.883358,-60.040813
4725000000,-24.294882,80.833969
4757500000,-27.617411,-134.9873
4790000000,-31.119961,16.808781
4822500000,-31.16799,142.24966
4855000000,-30.747765,-100.70212
4887500000,-26.81045,35.176834
4920000000,-25.911585,172.55243
4952500000,-25.699774,-52.324299
4985000000,-23.290924,115.61889
5017500000,-21.410038,-78.282372
5050000000,-19.816254,78.501617
5082500000,-17.616434,-125.83946
5115000000,-16.850584,27.664803
