!CSV A.01.01
!Agilent Technologies,N5225A,MY51451353,A.10.00.00
!Agilent N5225A: A.10.00.00
!Date: Thursday, August 20, 2020 15:38:03
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
500000000,-9.5284767,-112.27812
532500000,-15.95141,-108.94353
565000000,-39.548046,116.37966
597500000,-9.1856213,142.09015
630000000,-3.2289133,-126.3748
662500000,0.12690398,-97.574379
695000000,5.5297012,-54.858715
727500000,10.645617,-97.309341
760000000,13.097918,-158.6393
792500000,11.568848,170.76384
825000000,11.869357,86.35453
857500000,14.570074,19.349789
890000000,12.480564,-10.754276
922500000,13.218824,-31.203098
955000000,14.99049,-72.632408
987500000,16.625914,-108.48414
1020000000,16.201056,-130.83353
1052500000,14.117392,-138.58458
1085000000,15.111344,-155.08661
1117500000,9.3214855,-123.38375
1150000000,15.169403,-134.54677
1182500000,9.4683361,-164.34229
1215000000,13.685366,-91.561813
1247500000,14.342608,-92.420197
1280000000,11.602456,-45.67144
1312500000,10.941771,-12.076761
1345000000,11.096152,59.927364
1377500000,12.75563,101.20351
1410000000,9.2758179,140.97768
1442500000,13.978116,-159.04211
1475000000,15.669798,-125.86573
1507500000,15.57119,-70.678986
1540000000,16.226883,-27.767422
1572500000,15.142564,9.7944193
1605000000,15.149238,91.854698
1637500000,15.844508,141.97479
1670000000,12.249993,-159.85451
1702500000,14.863747,-74.65126
1735000000,14.753382,-19.202454
1767500000,13.11679,49.642063
1800000000,13.496489,130.25299
1832500000,12.400038,-160.39673
1865000000,9.9329681,-78.7099
1897500000,10.825996,18.254141
1930000000,11.970501,97.483307
1962500000,11.37625,172.13945
1995000000,9.0716515,-95.802544
2027500000,7.9059958,-7.9353848
2060000000,6.4079509,84.522896
2092500000,5.4771748,177.66635
2125000000,5.8217335,-88.793488
2157500000,3.3022797,-17.113604
2190000000,-2.0538578,83.437958
2222500000,-3.1429007,-161.96118
2255000000,-2.5772514,-65.099442
2287500000,-2.9228466,19.585037
2320000000,-4.2228513,90.943787
2352500000,-7.1979003,-172.08302
2385000000,-4.5769472,-87.713913
2417500000,-2.3422291,-10.192839
2450000000,-2.4972172,85.480103
2482500000,-0.11374855,-170.27539
2515000000,1.1944032,-63.092827
2547500000,3.4119136,39.695267
2580000000,3.8774779,145.45277
2612500000,4.2626472,-107.09889
2645000000,3.3483264,6.1819725
2677500000,4.5349216,127.63593
2710000000,5.1450825,-115.09267
2742500000,6.1587877,0.33127201
2775000000,6.4866862,120.37498
2807500000,8.0053368,-118.57175
2840000000,8.7914696,-5.0508962
2872500000,9.3790321,109.79828
2905000000,9.1549883,-132.29967
2937500000,9.0197783,-12.872701
2970000000,9.0422297,113.50301
3002500000,9.1295948,-128.91457
3035000000,8.7402849,-8.536787
3067500000,7.4836917,116.5933
3100000000,7.0672045,-111.06453
3132500000,6.9270339,17.180967
3165000000,6.0609255,151.18541
3197500000,6.5384402,-72.361855
3230000000,6.7161932,60.502998
3262500000,7.6503468,-163.32668
3295000000,8.4230003,-35.879749
3327500000,8.3137722,94.186333
3360000000,8.6398134,-134.64087
3392500000,8.7588291,-5.8456354
3425000000,8.9432859,122.67009
3457500000,8.1193027,-108.03825
3490000000,7.8924398,24.635263
3522500000,7.1557956,157.76332
3555000000,6.7190146,-64.93821
3587500000,6.7460465,71.51384
3620000000,6.8933668,-155.45703
3652500000,6.214922,-22.347778
3685000000,5.1883278,114.93818
3717500000,4.7824292,-103.06095
3750000000,4.6736164,34.144352
3782500000,3.9398625,173.93762
3815000000,3.9364038,-43.194904
3847500000,3.7873724,95.067215
3880000000,3.7905872,-127.71649
3912500000,2.9967358,6.2768335
3945000000,0.84152496,145.84627
3977500000,-0.4189845,-66.180557
4010000000,-1.3999151,82.458702
4042500000,-1.6780071,-130.74023
4075000000,-2.2840104,13.889303
4107500000,-2.8442135,159.13019
4140000000,-3.8636389,-55.87812
4172500000,-4.5417252,89.143341
4205000000,-6.0568271,-122.60987
4237500000,-6.8149323,30.636015
4270000000,-6.823873,-176.7867
4302500000,-6.9460516,-31.640244
4335000000,-7.7081251,117.71809
4367500000,-7.861814,-90.233078
