!CSV A.01.01
!Agilent Technologies,N5225A,MY51451353,A.10.00.00
!Agilent N5225A: A.10.00.00
!Date: Thursday, August 20, 2020 15:38:11
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
500000000,-8.1625538,-106.49527
532500000,-15.45174,-104.19885
565000000,-38.427647,105.80721
597500000,-7.9110317,131.36665
630000000,-2.3062723,-129.31386
662500000,0.42877877,-101.74625
695000000,5.3593588,-75.238899
727500000,9.8017559,-102.58746
760000000,12.935,-160.95384
792500000,11.979785,167.10072
825000000,12.455256,67.780342
857500000,12.855527,2.3319116
890000000,11.201384,-26.368788
922500000,10.679493,-50.136715
955000000,12.225668,-84.952965
987500000,13.863454,-114.23471
1020000000,14.842822,-119.71519
1052500000,13.033212,-132.50066
1085000000,14.064885,-149.60159
1117500000,8.7468853,-110.04469
1150000000,14.917183,-137.67305
1182500000,8.7031221,-172.39111
1215000000,11.869437,-96.462509
1247500000,12.295824,-87.179459
1280000000,10.202909,-46.20776
1312500000,8.6346712,-9.5463839
1345000000,10.328505,69.403061
1377500000,11.478003,104.71207
1410000000,7.4576321,146.07965
1442500000,12.98293,-151.08449
1475000000,15.209835,-115.11256
1507500000,15.475209,-65.466133
1540000000,15.86095,-24.717636
1572500000,13.899779,14.174798
1605000000,14.131688,97.861046
1637500000,15.114168,150.30502
1670000000,11.448986,-145.36679
1702500000,14.759172,-67.785934
1735000000,14.188634,-10.867095
1767500000,12.579787,60.088753
1800000000,13.353244,141.32948
1832500000,13.149628,-148.27188
1865000000,10.972692,-72.56282
1897500000,11.478895,23.732115
1930000000,12.180545,99.707855
1962500000,11.182442,176.99422
1995000000,9.6739016,-88.9123
2027500000,9.0452356,-0.65652966
2060000000,7.7662053,82.498192
2092500000,5.6251321,177.1824
2125000000,6.0564728,-83.258034
2157500000,3.5999045,-8.9295979
2190000000,-1.2991004,92.320473
2222500000,-1.8092972,-150.96605
2255000000,-1.1119931,-52.004879
2287500000,-0.94576228,36.133541
2320000000,-2.0826042,114.70673
2352500000,-3.7785254,-151.18748
2385000000,-2.7273672,-62.974743
2417500000,-2.0603554,15.143006
2450000000,-0.8432073,104.40739
2482500000,0.64333814,-167.36147
2515000000,0.10608108,-61.657532
2547500000,2.008878,44.824535
2580000000,2.2849905,156.40965
2612500000,3.72804,-91.572884
2645000000,3.9450469,12.099324
2677500000,4.5722179,130.07239
2710000000,4.5181322,-115.28642
2742500000,4.6957207,2.8451405
2775000000,5.2577629,126.06647
2807500000,7.0402389,-109.74375
2840000000,8.3571386,3.1301227
2872500000,9.0188913,117.46143
2905000000,9.264164,-126.45074
2937500000,9.0596113,-9.9403811
2970000000,8.9760942,114.75812
3002500000,8.5562601,-127.81477
3035000000,8.1108217,-4.7371602
3067500000,6.9884806,120.37826
3100000000,6.6298294,-108.78178
3132500000,6.2606945,19.271662
3165000000,4.905921,154.25919
3197500000,5.5529208,-65.450325
3230000000,6.2784796,65.693619
3262500000,6.5803299,-161.94969
3295000000,6.483922,-29.405828
3327500000,6.95016,106.72498
3360000000,7.7167997,-122.45029
3392500000,7.6561227,5.8772006
3425000000,8.1448441,139.97357
3457500000,8.0534773,-91.825798
3490000000,7.7624226,39.29324
3522500000,7.2889924,173.51263
3555000000,7.3318057,-48.378586
3587500000,7.9800053,84.784637
3620000000,8.1107616,-145.84833
3652500000,7.5940685,-14.701629
3685000000,6.565238,118.94868
3717500000,5.6564765,-100.91174
3750000000,5.268786,36.480671
3782500000,4.4088345,176.22604
3815000000,4.4612556,-40.139435
3847500000,4.3949337,96.174477
3880000000,3.9530628,-128.57738
3912500000,2.597682,7.2085905
3945000000,0.26960424,151.2802
3977500000,-0.63776708,-58.092247
4010000000,-1.3388327,91.404846
4042500000,-1.3326173,-121.14101
4075000000,-1.4241846,22.093885
4107500000,-2.2759244,163.70987
4140000000,-3.6552155,-49.960632
4172500000,-4.5272202,98.809921
4205000000,-5.2027125,-110.61613
4237500000,-5.2129002,38.696922
4270000000,-5.5319762,-173.20018
4302500000,-5.6942229,-28.470312
4335000000,-6.8684134,118.59064
4367500000,-7.2010379,-90.133347
4400000000,-7.8981142,58.15247
4432500000,-8.3829956,-148.87245
4465000000,-8.6161633,-1.8065176
4497500000,-9.6764288,147.63184
4530000000,-11.087701,-63.441864
4562500000,-12.929527,95.332382
4595000000,-14.537448,-106.71038
4627500000,-16.161636,59.406754
4660000000,-15.594283,-124.76686
4692500000,-13.352095,29.703424
4725000000,-13.068333,-179.04053
4757500000,-12.981757,-27.436932
4790000000,-13.037601,121.5969
4822500000,-13.358521,-90.162224
4855000000,-14.849195,54.099045
4887500000,-16.738546,-163.97937
4920000000,-21.476709,-27.5571
4952500000,-36.529263,150.49013
4985000000,-30.377874,51.798634
5017500000,-26.707504,-149.12158
5050000000,-25.006659,26.155149
5082500000,-22.013664,-173.12531
5115000000,-20.846767,-17.762514
5147500000,-20.167198,143.64961
5180000000,-18.495243,-56.752846
5212500000,-18.456589,92.877586
5245000000,-20.106083,-94.684059
5277500000,-16.831444,80.073486
5310000000,-14.247093,-123.01543
5342500000,-13.30617,30.029491
5375000000,-12.388817,-174.61708
5407500000,-11.884439,-12.960501
5440000000,-10.876778,146.02194
5472500000,-9.7411509,-57.587654
5505000000,-9.4660349,96.703026
5537500000,-10.248727,-106.54177
5570000000,-10.315538,62.167671
5602500000,-10.145417,-133.63686
5635000000,-8.6747942,31.699171
5667500000,-7.2424383,-168.44072
5700000000,-6.3266749,-15.069695
5732500000,-6.5015802,138.42624
5765000000,-7.3093214,-64.827576
5797500000,-8.5763292,96.249863
5830000000,-9.5082569,-98.506836
5862500000,-9.4899359,71.632271
5895000000,-9.34869,-124.82378
5927500000,-9.2916231,37.853783
5960000000,-9.3347692,-154.60147
5992500000,-8.7592621,6.9113808
6025000000,-8.3021975,169.98225
6057500000,-8.1490641,-27.560087
6090000000,-7.6436696,132.40367
6122500000,-7.2932487,-68.063972
6155000000,-7.4452028,91.468338
6187500000,-8.1112242,-110.06354
6220000000,-9.3182354,55.236973
6252500000,-9.4436321,-127.32491
6285000000,-8.1014662,39.769905
6317500000,-6.8887448,-156.11728
6350000000,-6.5604382,1.9366876
6382500000,-6.7287111,163.48836
6415000000,-7.211369,-31.406572
6447500000,-7.5513511,138.35686
6480000000,-6.9443622,-53.029205
6512500000,-6.4352484,111.64066
6545000000,-6.6113329,-83.053665
6577500000,-6.7076502,79.407265
6610000000,-7.2637892,-111.89874
6642500000,-7.7235627,55.692577
6675000000,-7.8015337,-136.67461
6707500000,-7.9962611,35.401649
6740000000,-7.9342632,-156.81822
6772500000,-7.3682899,10.444808
6805000000,-7.2375164,175.31689
6837500000,-7.315979,-21.629246
6870000000,-7.3971295,143.32007
6902500000,-7.8755503,-54.328537
6935000000,-8.837266,111.77197
6967500000,-9.6928005,-79.941727
7000000000,-10.235153,90.182411
END

